Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v0/teas/5267,1,0,67.00783397536725,67.00783397536725,67.00783397536725,67.00783397536725,128.0,0.016810592220491145,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/v0/teas/5339,1,0,17.25158400950022,17.25158400950022,17.25158400950022,17.25158400950022,128.0,0.016810592220491145,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/api/v0/teas/5366,1,0,6.550166988745332,6.550166988745332,6.550166988745332,6.550166988745332,131.0,0.016810592220491145,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v0/teas/5377,1,0,10.22825000109151,10.22825000109151,10.22825000109151,10.22825000109151,128.0,0.016810592220491145,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v0/teas/5386,1,0,252.63750000158325,252.63750000158325,252.63750000158325,252.63750000158325,134.0,0.016810592220491145,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/v0/teas/5417,1,0,20.675625011790544,20.675625011790544,20.675625011790544,20.675625011790544,128.0,0.016810592220491145,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/v0/teas/5505,1,0,52.55395799758844,52.55395799758844,52.55395799758844,52.55395799758844,131.0,0.016810592220491145,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/api/v0/teas/5516,1,0,118.66062501212582,118.66062501212582,118.66062501212582,118.66062501212582,137.0,0.016810592220491145,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v0/teas/56,1,0,150.52841699798591,150.52841699798591,150.52841699798591,150.52841699798591,135.0,0.016810592220491145,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v0/teas/5638,1,0,24.523958010831848,24.523958010831848,24.523958010831848,24.523958010831848,129.0,0.016810592220491145,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/v0/teas/5659,1,0,48.1179170019459,48.1179170019459,48.1179170019459,48.1179170019459,129.0,0.016810592220491145,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/v0/teas/5780,1,0,275.9136660024524,275.9136660024524,275.9136660024524,275.9136660024524,127.0,0.016810592220491145,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,/api/v0/teas/5839,1,0,7.646124984603375,7.646124984603375,7.646124984603375,7.646124984603375,128.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/5887,1,0,7.963624986587092,7.963624986587092,7.963624986587092,7.963624986587092,139.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/59,1,0,31.806791987037286,31.806791987037286,31.806791987037286,31.806791987037286,124.0,0.016810592220491145,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/api/v0/teas/5925,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0,0.016810592220491145,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/v0/teas/594,1,0,163.6538750026375,163.6538750026375,163.6538750026375,163.6538750026375,126.0,0.016810592220491145,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/api/v0/teas/5941,1,0,34.912167000584304,34.912167000584304,34.912167000584304,34.912167000584304,128.0,0.016810592220491145,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/api/v0/teas/5949,1,0,9.443874994758517,9.443874994758517,9.443874994758517,9.443874994758517,131.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
